           Best Path              City X              City Y                  ID
                  10             24.1708              -17.77                   0
                  20            -9.10653             28.5845                   1
                  26             13.3141            -26.8837                   2
                   7             10.7732             27.9989                   3
                   6            -10.7008             28.0266                   4
                   5            -29.3091             6.40119                   5
                  18             -29.373             6.10138                   6
                  28            -29.5643             5.09452                   7
                   4            -19.6913             -22.633                   8
                  12           -0.793368             29.9895                   9
                   1             -28.925            -7.95886                  10
                   9            -20.4135            -21.9839                  11
                  19            -9.45598             28.4708                  12
                   3             24.7053             17.0191                  13
                  13            0.117156            -29.9998                  14
                  29             24.5493            -17.2433                  15
                  22             14.0702            -26.4958                  16
                  15             12.1732            -27.4192                  17
                   0            -27.0958             12.8771                  18
                  21             6.64825             29.2541                  19
                  16            -29.8392            -3.10192                  20
                   2             14.4524            -26.2893                  21
                  17             29.3714            -6.10921                  22
                  24            -20.2395            -22.1442                  23
                  14             5.17588            -29.5501                  24
                  25            -1.12065            -29.9791                  25
                  27            -29.7654             3.74414                  26
                   8            -16.7028            -24.9202                  27
                  23             -18.525             23.5971                  28
                  11             26.1841             14.6421                  29
