           Best Path              City X              City Y                  ID
                  12             6.03655             4.77294                   0
                   9              20.248             1.92651                   1
                  21             11.9974             9.80575                   2
                  17             29.5938             10.2969                   3
                   6             13.1066            0.860883                   4
                   7              25.373             15.7939                   5
                   5             17.2807             25.6111                   6
                  16               21.05             25.4417                   7
                  18             8.39834             28.0961                   8
                  25             28.5534             27.7564                   9
                  26             26.4577             8.71259                  10
                  14             23.4577            0.334324                  11
                   8             24.9068             25.8345                  12
                  23             22.1583             4.34322                  13
                  19             7.81301             25.7011                  14
                  20              16.434             2.64335                  15
                  28             17.6371             18.7088                  16
                  22             21.1376             28.3547                  17
                   0             10.2491             22.8013                  18
                   2             1.18248             18.3843                  19
                   4             6.39395             14.8886                  20
                  15              25.155             29.7693                  21
                   1             1.69708             2.33454                  22
                  11              2.6073             27.7626                  23
                  13             23.7917             3.26673                  24
                  24               10.39             24.5416                  25
                  27             13.2462              28.099                  26
                  10             27.4844             1.47475                  27
                   3             2.33763             8.08636                  28
                  29             27.0713             20.3063                  29
